//name, id, value, owner, nb_houses, price_houses, rent
Boulevard_de_Belleville 1 60 0 0 50 2
Rue_Lecourbe 3 60 0 0 50 2
Gare_Montparnasse 5 200 0 0 0 0
Rue_de_Vaugirard 6 100 0 0 50 5
Rue_de_Courcelles 8 100 0 0 50 6
Avenue_de_la_Republique 9 120 0 0 50 6
Boulevard_de_la_Villette 11 140 0 0 100 10
Avenue_de_Neuilly 13 140 0 0 100 10
Rue_de_Paradis 14 160 0 0 100 10
Gare_de_Lyon 15 200 0 0 0 0
Avenue_de_Mozart 16 180 0 0 100 10
Boulevard_Saint_Michel 18 180 0 0 100 10
Place_Pigalle 19 200 0 0 100 10
Avenue_Matignon 21 220 0 0 100 10
Boulevard_Malesherbes 23 220 0 0 100 10
Avenue_Henri_Martin 24 240 0 0 100 10
Gare_du_Nord 25 200 0 0 0 0
Faubourg_Saint_Honoré 26 260 0 0 100 10
Place_de_la_Bourse 27 260 0 0 100 10
Rue_la_Fayette 29 280 0 0 100 10
Avenue_de_Breteuil 31 300 0 0 100 10
Avenue_Foch 32 300 0 0 100 10
Boulevard_des_Capucines 34 320 0 0 100 10
Gare_Saint_Lazare 35 200 0 0 0 0
Avenue_des_Champs_Elysées 37 350 0 0 100 10
Rue_de_la_Paix 39 400 0 0 100 10
